zip_code,Population,Percent_Pop_change,#Household,#Families,Avg_HouHol_size,House_Hold_with_child,Families_below_pov,Families_below_pov_with_child,#Housing,Avg_Housing_value,%Pop+16,race_white,race_black,race_indian,race_Asian,race_Hawaian,eth_Hispanic,eth_non-hispanic,sex_male,sex_female,HHincome_all,HHincome_white,HHincome_black,HHincome_indian,HHincome_Asian,HHincome_Hawaian,HHincome_Hispanic,HHincome_non-Hispanic,edu_Associate,edu_Bachelor,edu_Maters,edu_professional,edu_Doctorate,Children(0-14),Youth (15-24),Adults (25-64),Seniors (65+),race_two+,HHincome_two+,edu_uptoCollege level
84006,891.0,8.39,305.0,239.0,2.92,0.419672131147541,0.016736401673640166,0.008368200836820083,330.0,528574.0,2.25,0.8933782267115601,0.004489337822671156,0.010101010101010102,0.003367003367003367,0.02244668911335578,114.0,777.0,451.0,440.0,102083.0,104167.0,14999.0,112500.0,42500.0,62500.0,45500.0,108511.0,0.14922813036020582,0.20411663807890223,0.058319039451114926,0.005145797598627788,0.0017152658662092624,0.20875420875420875,0.13692480359147025,0.531986531986532,0.040778151889263,0.06621773288439955,74875.0,0.58147512864494
84020,55868.0,31.31,15366.0,12605.0,3.36,0.51744110373552,0.04006346687822293,0.02927409758032527,15984.0,738132.0,2.67,0.8820075893176774,0.015124937352330493,0.006443760292117133,0.04048829383546932,0.004761222882508771,4297.0,51571.0,29372.0,26496.0,135138.0,137862.0,32083.0,100000.0,118409.0,73077.0,105714.0,137135.0,0.07102980331529675,0.3044175327092101,0.1298348077528701,0.039795012740129976,0.018236995047095538,0.22191594472685616,0.15287821293047898,0.5331495668361137,0.030685425168850384,0.0511741963198969,94195.0,0.43668584843539754
84044,29977.0,14.15,8778.0,7095.0,3.41,0.5287081339712919,0.0755461592670895,0.06257928118393234,9190.0,351594.0,4.49,0.7314941455115589,0.012843179771157887,0.011975848150248524,0.013410281215598625,0.025519564999833204,8257.0,21720.0,15093.0,14884.0,77764.0,80055.0,40357.0,102315.0,90625.0,109091.0,71496.0,79909.0,0.10269247886070317,0.0933466844681798,0.024699599465954607,0.003115264797507788,0.002280818869603916,0.25566267471728327,0.1446775861493812,0.5123261166894619,0.029111207481291212,0.2047569803516029,66772.5,0.7738651535380507
84047,35192.0,19.17,14340.0,8709.0,2.45,0.31499302649930266,0.0792283844299001,0.0684349523481456,15250.0,442419.0,3.49,0.7480109115708116,0.023357581268470106,0.01298590588770175,0.03622982496021823,0.008382586951579904,8618.0,26574.0,17475.0,17717.0,71690.0,74284.0,51364.0,85417.0,96806.0,78947.0,57058.0,74932.0,0.09387071851661087,0.2434543737659885,0.08768993046613444,0.0167825564426131,0.004120525366984291,0.20498977040236419,0.1329847692657422,0.5441009320300069,0.03930817610062893,0.17103318936121845,58554.0,0.5540818954416689
84065,46735.0,32.92,12689.0,11158.0,3.68,0.5609583103475451,0.029575192686861446,0.025631833661946584,13009.0,590117.0,2.29,0.920659034984487,0.0056274740558467954,0.0034235583609714348,0.01737455868193003,0.00729645875682037,3021.0,43714.0,23305.0,23430.0,123046.0,123909.0,62500.0,67308.0,117500.0,69531.0,92784.0,124131.0,0.14150071123755334,0.25177809388335703,0.0843172119487909,0.023470839260312945,0.007219061166429588,0.24300845190970366,0.1553011661495667,0.5022360115545095,0.03315145679540672,0.045618915159944366,126715.5,0.4917140825035562
84070,29995.0,25.23,10920.0,7626.0,2.72,0.3772893772893773,0.05061631261473905,0.03920797272488854,11527.0,435629.0,4.29,0.8139356559426572,0.011468578096349392,0.011668611435239206,0.033072178696449406,0.013235539256542757,5027.0,24968.0,14720.0,15275.0,84384.0,86751.0,42895.0,82143.0,84110.0,84868.0,59659.0,87261.0,0.09183418965431236,0.2405846261285978,0.07287873497281389,0.00967725844265975,0.007183119668778371,0.2008668111351892,0.13078846474412403,0.5336222703783964,0.04490748458076346,0.11661943657276212,69620.5,0.5778420711328378
84081,51737.0,25.28,13375.0,11876.0,3.85,0.6705046728971963,0.02593465813405187,0.019282586729538566,14195.0,455073.0,3.26,0.7661441521541643,0.014709009026422096,0.008427237760210295,0.03767129907029785,0.01778224481512264,12324.0,39413.0,25818.0,25919.0,109409.0,112460.0,49318.0,74375.0,162500.0,83214.0,82210.0,116340.0,0.1207511540075535,0.2041194572667506,0.06060288152189117,0.004126451251923346,0.004860819695062246,0.29740804453292613,0.14987339814832712,0.5002029495332161,0.017505202595176888,0.15526605717378278,99539.5,0.6055392362568192
84084,32832.0,8.96,10319.0,8041.0,3.16,0.45401686209904063,0.05534137545081458,0.041910210172864074,10662.0,404541.0,3.65,0.7591983430799221,0.014802631578947368,0.00834551656920078,0.05135233918128655,0.02326998050682261,7197.0,25635.0,16103.0,16729.0,87413.0,90305.0,43036.0,89167.0,109856.0,66964.0,63861.0,91856.0,0.11359954255217765,0.19336700657581243,0.04746021156961784,0.008291241780234443,0.0043838749642618885,0.21643518518518517,0.14437134502923976,0.5229653996101364,0.03874269005847953,0.14303118908382068,57461.5,0.6328981225578958
84088,39060.0,10.87,11806.0,9590.0,3.3,0.5072844316449263,0.05172054223149114,0.034723670490093846,12260.0,452719.0,4.14,0.7764976958525346,0.01057347670250896,0.008960573476702509,0.03796722990271378,0.018202764976958524,8638.0,30422.0,19464.0,19596.0,89331.0,93086.0,32727.0,65625.0,75625.0,88043.0,70910.0,93050.0,0.10700909577314072,0.20566325060707083,0.054245380088076715,0.009219245174301354,0.006461703090916574,0.2251152073732719,0.15284178187403993,0.5234254992319508,0.03287250384024577,0.14779825908858166,69385.0,0.6174013252664938
84092,31117.0,6.3,9721.0,8387.0,3.19,0.4389466104310256,0.03243114343627042,0.01693096458805294,10359.0,711731.0,2.8,0.902143522833178,0.008966159976861522,0.0031815406369508628,0.04209917408490536,0.007262910948998939,1322.0,29795.0,15551.0,15566.0,137115.0,138768.0,34286.0,80000.0,156696.0,61458.0,124419.0,137540.0,0.08654383026242322,0.33040201005025127,0.1290247533966127,0.040433649730132144,0.02400893355667225,0.16168011055050294,0.14763634026416428,0.5160523186682521,0.058210410172360234,0.036346691519105315,103300.0,0.38958682300390846
